Fri Dec 31 15:51:10 2021, 00:14:22, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:11 2021, 00:14:23, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:12 2021, 00:14:25, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:13 2021, 00:14:26, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:14 2021, 00:14:27, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:15 2021, 00:14:28, Recent State, 48, 19501, 11490, 0, 0, 38.85, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:16 2021, 00:14:29, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:18 2021, 00:14:30, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:19 2021, 00:14:32, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:20 2021, 00:14:33, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
