Thu Dec 30 20:39:33 2021, 118169, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:34 2021, 119359, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:35 2021, 120559, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:36 2021, 121833, Recent State, 154, 0, 0, 0, 1, 35.63, 14.92, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:38 2021, 123099, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:39 2021, 124289, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:40 2021, 125479, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:41 2021, 126669, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:42 2021, 127843, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:44 2021, 129028, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
